id,yyyy,mm,pcode,governorate,gender,reach,reach_total,target_total,indicator,indicator_group,partner0,partnertype0,partner1,partnertype1,partner2,partnertype2,partner3,partnertype3,partner4,partnertype4,partner5,partnertype5,partner6,partnertype6,h_reach,h_target_total,h_reach_total,pin_total,pop_total
4,2016,12,12,Abyan,women,0,0,100,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,,,,,,,,,,,,,,,10,2142,107,427200,534000
10,2016,12,12,Abyan,men,0,0,100,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,,,,,,,,,,,,,,,95,2142,107,427200,534000
16,2016,12,12,Abyan,girls,0,0,100,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,,,,,,,,,,,,,,,0,2142,107,427200,534000
22,2016,12,12,Abyan,boys,0,0,100,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,,,,,,,,,,,,,,,2,2142,107,427200,534000
25,2016,12,24,Aden,women,21,100,11405,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,Intersos,INGO,OHCHR,UN,AMIDEAST,INGO,UNDP,UN,,,,,,,376,11405,854,835000,835000
26,2016,12,24,Aden,women,376,854,1458,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,Intersos,INGO,OHCHR,UN,UNDP,UN,,,,,,,,,376,11405,854,835000,835000
27,2016,12,24,Aden,women,223,506,5653,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,,,,,,,,,,,,,,,376,11405,854,835000,835000
28,2016,12,24,Aden,women,0,0,100,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,,,,,,,,,,,,,,,376,11405,854,835000,835000
29,2016,12,24,Aden,women,0,0,1622,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,OHCHR,UN,Intersos,INGO,,,,,,,,,,,376,11405,854,835000,835000
30,2016,12,24,Aden,women,119,306,1031,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,OHCHR,UN,AMIDEAST,INGO,UNDP,UN,Intersos,INGO,,,,,,,376,11405,854,835000,835000
31,2016,12,24,Aden,men,79,100,11405,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,Intersos,INGO,OHCHR,UN,AMIDEAST,INGO,UNDP,UN,,,,,,,137,11405,854,835000,835000
32,2016,12,24,Aden,men,137,854,1458,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,Intersos,INGO,OHCHR,UN,UNDP,UN,,,,,,,,,137,11405,854,835000,835000
33,2016,12,24,Aden,men,274,506,5653,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,,,,,,,,,,,,,,,137,11405,854,835000,835000
34,2016,12,24,Aden,men,0,0,100,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,,,,,,,,,,,,,,,137,11405,854,835000,835000
35,2016,12,24,Aden,men,0,0,1622,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,OHCHR,UN,Intersos,INGO,,,,,,,,,,,137,11405,854,835000,835000
36,2016,12,24,Aden,men,187,306,1031,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,OHCHR,UN,AMIDEAST,INGO,UNDP,UN,Intersos,INGO,,,,,,,137,11405,854,835000,835000
37,2016,12,24,Aden,girls,0,100,11405,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,Intersos,INGO,OHCHR,UN,AMIDEAST,INGO,UNDP,UN,,,,,,,173,11405,854,835000,835000
38,2016,12,24,Aden,girls,173,854,1458,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,Intersos,INGO,OHCHR,UN,UNDP,UN,,,,,,,,,173,11405,854,835000,835000
39,2016,12,24,Aden,girls,4,506,5653,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,,,,,,,,,,,,,,,173,11405,854,835000,835000
40,2016,12,24,Aden,girls,0,0,100,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,,,,,,,,,,,,,,,173,11405,854,835000,835000
41,2016,12,24,Aden,girls,0,0,1622,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,OHCHR,UN,Intersos,INGO,,,,,,,,,,,173,11405,854,835000,835000
42,2016,12,24,Aden,girls,0,306,1031,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,OHCHR,UN,AMIDEAST,INGO,UNDP,UN,Intersos,INGO,,,,,,,173,11405,854,835000,835000
43,2016,12,24,Aden,boys,0,100,11405,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,Intersos,INGO,OHCHR,UN,AMIDEAST,INGO,UNDP,UN,,,,,,,168,11405,854,835000,835000
44,2016,12,24,Aden,boys,168,854,1458,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,Intersos,INGO,OHCHR,UN,UNDP,UN,,,,,,,,,168,11405,854,835000,835000
45,2016,12,24,Aden,boys,5,506,5653,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,,,,,,,,,,,,,,,168,11405,854,835000,835000
46,2016,12,24,Aden,boys,0,0,100,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,,,,,,,,,,,,,,,168,11405,854,835000,835000
47,2016,12,24,Aden,boys,0,0,1622,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,OHCHR,UN,Intersos,INGO,,,,,,,,,,,168,11405,854,835000,835000
48,2016,12,24,Aden,boys,0,306,1031,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,OHCHR,UN,AMIDEAST,INGO,UNDP,UN,Intersos,INGO,,,,,,,168,11405,854,835000,835000
49,2016,12,14,Al Bayda,women,0,0,337,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,RRD,NGO,OHCHR,UN,,,,,,,,,,,4334,10769,9788,144233,713998
50,2016,12,14,Al Bayda,women,0,0,0,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,,,,,,,,,,,,,,,4334,10769,9788,144233,713998
51,2016,12,14,Al Bayda,women,0,0,0,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,,,,,,,,,,,,,,,4334,10769,9788,144233,713998
52,2016,12,14,Al Bayda,women,0,0,0,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,,,,,,,,,,,,,,,4334,10769,9788,144233,713998
53,2016,12,14,Al Bayda,women,0,0,0,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,Intersos,INGO,,,,,,,,,,,,,4334,10769,9788,144233,713998
54,2016,12,14,Al Bayda,women,4334,9788,10769,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,Intersos,INGO,RRD,NGO,OHCHR,UN,AMIDEAST,INGO,,,,,,,4334,10769,9788,144233,713998
55,2016,12,14,Al Bayda,men,0,0,337,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,RRD,NGO,OHCHR,UN,,,,,,,,,,,3245,10769,9788,144233,713998
56,2016,12,14,Al Bayda,men,0,0,0,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,,,,,,,,,,,,,,,3245,10769,9788,144233,713998
57,2016,12,14,Al Bayda,men,0,0,0,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,,,,,,,,,,,,,,,3245,10769,9788,144233,713998
58,2016,12,14,Al Bayda,men,0,0,0,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,,,,,,,,,,,,,,,3245,10769,9788,144233,713998
59,2016,12,14,Al Bayda,men,0,0,0,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,Intersos,INGO,,,,,,,,,,,,,3245,10769,9788,144233,713998
60,2016,12,14,Al Bayda,men,3245,9788,10769,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,Intersos,INGO,RRD,NGO,OHCHR,UN,AMIDEAST,INGO,,,,,,,3245,10769,9788,144233,713998
61,2016,12,14,Al Bayda,girls,0,0,337,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,RRD,NGO,OHCHR,UN,,,,,,,,,,,1161,10769,9788,144233,713998
62,2016,12,14,Al Bayda,girls,0,0,0,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,,,,,,,,,,,,,,,1161,10769,9788,144233,713998
63,2016,12,14,Al Bayda,girls,0,0,0,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,,,,,,,,,,,,,,,1161,10769,9788,144233,713998
64,2016,12,14,Al Bayda,girls,0,0,0,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,,,,,,,,,,,,,,,1161,10769,9788,144233,713998
65,2016,12,14,Al Bayda,girls,0,0,0,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,Intersos,INGO,,,,,,,,,,,,,1161,10769,9788,144233,713998
66,2016,12,14,Al Bayda,girls,1161,9788,10769,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,Intersos,INGO,RRD,NGO,OHCHR,UN,AMIDEAST,INGO,,,,,,,1161,10769,9788,144233,713998
67,2016,12,14,Al Bayda,boys,0,0,337,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,RRD,NGO,OHCHR,UN,,,,,,,,,,,1048,10769,9788,144233,713998
68,2016,12,14,Al Bayda,boys,0,0,0,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,,,,,,,,,,,,,,,1048,10769,9788,144233,713998
69,2016,12,14,Al Bayda,boys,0,0,0,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,,,,,,,,,,,,,,,1048,10769,9788,144233,713998
70,2016,12,14,Al Bayda,boys,0,0,0,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,,,,,,,,,,,,,,,1048,10769,9788,144233,713998
71,2016,12,14,Al Bayda,boys,0,0,0,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,Intersos,INGO,,,,,,,,,,,,,1048,10769,9788,144233,713998
72,2016,12,14,Al Bayda,boys,1048,9788,10769,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,Intersos,INGO,RRD,NGO,OHCHR,UN,AMIDEAST,INGO,,,,,,,1048,10769,9788,144233,713998
73,2016,12,30,Al Dhale'e,women,0,0,7623,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,RRD,NGO,OHCHR,UN,AMIDEAST,INGO,,,,,,,,,0,7623,1,392399,653999
74,2016,12,30,Al Dhale'e,women,0,0,553,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,Intersos,INGO,,,,,,,,,,,,,0,7623,1,392399,653999
75,2016,12,30,Al Dhale'e,women,0,0,1206,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,OHCHR,UN,Intersos,INGO,,,,,,,,,,,0,7623,1,392399,653999
76,2016,12,30,Al Dhale'e,women,0,0,0,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,,,,,,,,,,,,,,,0,7623,1,392399,653999
77,2016,12,30,Al Dhale'e,women,0,0,0,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,,,,,,,,,,,,,,,0,7623,1,392399,653999
78,2016,12,30,Al Dhale'e,women,0,1,620,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,RRD,NGO,Intersos,INGO,AMIDEAST,INGO,,,,,,,,,0,7623,1,392399,653999
79,2016,12,30,Al Dhale'e,men,0,0,7623,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,RRD,NGO,OHCHR,UN,AMIDEAST,INGO,,,,,,,,,1,7623,1,392399,653999
80,2016,12,30,Al Dhale'e,men,0,0,553,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,Intersos,INGO,,,,,,,,,,,,,1,7623,1,392399,653999
81,2016,12,30,Al Dhale'e,men,0,0,1206,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,OHCHR,UN,Intersos,INGO,,,,,,,,,,,1,7623,1,392399,653999
82,2016,12,30,Al Dhale'e,men,0,0,0,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,,,,,,,,,,,,,,,1,7623,1,392399,653999
83,2016,12,30,Al Dhale'e,men,0,0,0,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,,,,,,,,,,,,,,,1,7623,1,392399,653999
84,2016,12,30,Al Dhale'e,men,1,1,620,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,RRD,NGO,Intersos,INGO,AMIDEAST,INGO,,,,,,,,,1,7623,1,392399,653999
85,2016,12,30,Al Dhale'e,girls,0,0,7623,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,RRD,NGO,OHCHR,UN,AMIDEAST,INGO,,,,,,,,,0,7623,1,392399,653999
86,2016,12,30,Al Dhale'e,girls,0,0,553,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,Intersos,INGO,,,,,,,,,,,,,0,7623,1,392399,653999
87,2016,12,30,Al Dhale'e,girls,0,0,1206,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,OHCHR,UN,Intersos,INGO,,,,,,,,,,,0,7623,1,392399,653999
88,2016,12,30,Al Dhale'e,girls,0,0,0,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,,,,,,,,,,,,,,,0,7623,1,392399,653999
89,2016,12,30,Al Dhale'e,girls,0,0,0,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,,,,,,,,,,,,,,,0,7623,1,392399,653999
90,2016,12,30,Al Dhale'e,girls,0,1,620,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,RRD,NGO,Intersos,INGO,AMIDEAST,INGO,,,,,,,,,0,7623,1,392399,653999
91,2016,12,30,Al Dhale'e,boys,0,0,7623,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,RRD,NGO,OHCHR,UN,AMIDEAST,INGO,,,,,,,,,0,7623,1,392399,653999
92,2016,12,30,Al Dhale'e,boys,0,0,553,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,Intersos,INGO,,,,,,,,,,,,,0,7623,1,392399,653999
93,2016,12,30,Al Dhale'e,boys,0,0,1206,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,OHCHR,UN,Intersos,INGO,,,,,,,,,,,0,7623,1,392399,653999
94,2016,12,30,Al Dhale'e,boys,0,0,0,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,,,,,,,,,,,,,,,0,7623,1,392399,653999
95,2016,12,30,Al Dhale'e,boys,0,0,0,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,,,,,,,,,,,,,,,0,7623,1,392399,653999
96,2016,12,30,Al Dhale'e,boys,0,1,620,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,RRD,NGO,Intersos,INGO,AMIDEAST,INGO,,,,,,,,,0,7623,1,392399,653999
97,2016,12,18,Al Hudaydah,women,3438,15496,29281,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,OHCHR,UN,Intersos,INGO,AMIDEAST,INGO,CSSW,NGO,,,,,,,3438,29281,15496,585441,2916999
98,2016,12,18,Al Hudaydah,women,537,3097,3513,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,Intersos,INGO,CSSW,NGO,,,,,,,,,,,3438,29281,15496,585441,2916999
99,2016,12,18,Al Hudaydah,women,61,222,1258,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,AMIDEAST,INGO,Intersos,INGO,,,,,,,,,,,3438,29281,15496,585441,2916999
100,2016,12,18,Al Hudaydah,women,98,282,3641,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,CSSW,NGO,,,,,,,,,,,,,3438,29281,15496,585441,2916999
101,2016,12,18,Al Hudaydah,women,0,0,4226,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,,,,,,,,,,,,,,,3438,29281,15496,585441,2916999
102,2016,12,18,Al Hudaydah,women,27,52,834,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,OHCHR,UN,AMIDEAST,INGO,CSSW,NGO,,,,,,,,,3438,29281,15496,585441,2916999
103,2016,12,18,Al Hudaydah,men,3170,15496,29281,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,OHCHR,UN,Intersos,INGO,AMIDEAST,INGO,CSSW,NGO,,,,,,,3170,29281,15496,585441,2916999
104,2016,12,18,Al Hudaydah,men,735,3097,3513,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,Intersos,INGO,CSSW,NGO,,,,,,,,,,,3170,29281,15496,585441,2916999
105,2016,12,18,Al Hudaydah,men,161,222,1258,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,AMIDEAST,INGO,Intersos,INGO,,,,,,,,,,,3170,29281,15496,585441,2916999
106,2016,12,18,Al Hudaydah,men,184,282,3641,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,CSSW,NGO,,,,,,,,,,,,,3170,29281,15496,585441,2916999
107,2016,12,18,Al Hudaydah,men,0,0,4226,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,,,,,,,,,,,,,,,3170,29281,15496,585441,2916999
108,2016,12,18,Al Hudaydah,men,25,52,834,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,OHCHR,UN,AMIDEAST,INGO,CSSW,NGO,,,,,,,,,3170,29281,15496,585441,2916999
109,2016,12,18,Al Hudaydah,girls,4198,15496,29281,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,OHCHR,UN,Intersos,INGO,AMIDEAST,INGO,CSSW,NGO,,,,,,,4198,29281,15496,585441,2916999
110,2016,12,18,Al Hudaydah,girls,873,3097,3513,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,Intersos,INGO,CSSW,NGO,,,,,,,,,,,4198,29281,15496,585441,2916999
111,2016,12,18,Al Hudaydah,girls,0,222,1258,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,AMIDEAST,INGO,Intersos,INGO,,,,,,,,,,,4198,29281,15496,585441,2916999
112,2016,12,18,Al Hudaydah,girls,0,282,3641,Support Community Based Protection Networks (CBPNs) and ensure equal participation of women,CBPNs,CSSW,NGO,,,,,,,,,,,,,4198,29281,15496,585441,2916999
113,2016,12,18,Al Hudaydah,girls,0,0,4226,"Conduct evidenced-based advocacy and targeted sensitisation, capacity building and training for relevant stakeholders to improve the protection of IDPs and affected communities",Advocacy and Training,,,,,,,,,,,,,,,4198,29281,15496,585441,2916999
114,2016,12,18,Al Hudaydah,girls,0,52,834,Engage in two-way communication with IDPs and affected communities to promote dialogue and accountability,Communication,OHCHR,UN,AMIDEAST,INGO,CSSW,NGO,,,,,,,,,4198,29281,15496,585441,2916999
115,2016,12,18,Al Hudaydah,boys,4690,15496,29281,Engage in monitoring of human rights violations and protection challenges through established mechanisms and community based protection networks (CBPNs),Human Rights and Protection Monitoring,OHCHR,UN,Intersos,INGO,AMIDEAST,INGO,CSSW,NGO,,,,,,,4690,29281,15496,585441,2916999
116,2016,12,18,Al Hudaydah,boys,952,3097,3513,PROTECTION (Provision of timely psychosocial support and legal assistance to survivors of protection incidents within IDP and affected communities),Psychosocial Support and Legal Assistance,Intersos,INGO,CSSW,NGO,,,,,,,,,,,4690,29281,15496,585441,2916999
117,2016,12,18,Al Hudaydah,boys,0,222,1258,PROTECTION (Provision of timely financial and material assistance to survivors of protection incidents within IDP and other affected communities),Financial and Material Assistance,AMIDEAST,INGO,Intersos,INGO,,,,,,,,,,,4690,29281,15496,585441,2916999
